Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/19  04:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/19  05:00:00,25412461.17762,0.0,0.0,6876431.089379999,9919200.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/19  06:00:00,59416389.03785769,105340.00180052029,0.0,6876431.089379999,0.0,8616830.08824,43817787.85843718,47559.35192932426,47559.35192932426,655216.2127788859,18412677.74642042,143191.8072120587,0.0 
 06/19  07:00:00,88524904.68994431,0.0,0.0,27505724.357519997,0.0,17233660.17648,43785520.1559443,6769.821782169581,6769.821782169581,759453.916823172,27376144.146454317,5280.460990092273,0.0 
 06/19  08:00:00,142702282.81808574,0.0,0.0,68764310.8938,0.0,30158905.30883999,43779066.615445729,0.0,0.0,1807816.6230222448,13218927.522969397,0.0,0.0 
 06/19  09:00:00,208412074.66301138,0.0,2081513.0416456133,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,3301160.853736143,10711976.376528513,0.0,9792361.237381962 
 06/19  10:00:00,220724069.54998125,0.0,14393507.928615476,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,4499958.03999735,21661105.141718165,0.0,65496462.85459634 
 06/19  11:00:00,234112828.22229473,0.0,27782266.600928967,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,1752719.7315833532,50677708.907524529,0.0,126572592.84844825 
 06/19  12:00:00,242763806.88771094,0.0,36433245.26634518,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,65857275.08236596,0.0,164986390.25784133 
 06/19  13:00:00,264531563.88512273,0.0,58201002.26375695,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,83344768.27170241,0.0,255023590.51709379 
